dateChecked,dateCheckedHour,dateCheckedMinute,dateCheckedDayOfWeek,dateCheckedDayOfMonth,appointmentDaysFound,earliestAppointmentDate,earliestAppointmentDelta
2021-09-11T12:00:00,12,0,5,11,0,,
2021-09-11T12:02:00,12,2,5,11,1,2021-11-10T00:00:00,60
2021-09-11T12:04:00,12,4,5,11,0,,
2021-09-11T12:06:00,12,6,5,11,3,2021-10-13T00:00:00,32
2021-09-11T12:08:00,12,8,5,11,1,2021-11-03T00:00:00,53
2021-09-11T12:10:00,12,10,5,11,0,,
2021-09-11T12:12:00,12,12,5,11,0,,
2021-09-11T12:14:00,12,14,5,11,0,,
2021-09-11T12:16:00,12,16,5,11,0,,
2021-09-11T12:18:00,12,18,5,11,0,,
2021-09-11T12:20:00,12,20,5,11,0,,
2021-09-11T12:22:00,12,22,5,11,0,,
2021-09-11T12:24:00,12,24,5,11,0,,
2021-09-11T12:26:00,12,26,5,11,2,2021-09-11T00:00:00,0
2021-09-11T12:28:00,12,28,5,11,0,,
2021-09-11T12:30:00,12,30,5,11,0,,
2021-09-11T12:32:00,12,32,5,11,0,,
2021-09-11T12:34:00,12,34,5,11,0,,
2021-09-11T12:36:00,12,36,5,11,0,,
2021-09-11T12:38:00,12,38,5,11,0,,
2021-09-11T12:40:00,12,40,5,11,0,,
2021-09-11T12:42:00,12,42,5,11,0,,
2021-09-11T12:44:00,12,44,5,11,0,,
2021-09-11T12:46:00,12,46,5,11,0,,
2021-09-11T12:48:00,12,48,5,11,0,,
2021-09-11T12:50:00,12,50,5,11,0,,
2021-09-11T12:52:00,12,52,5,11,0,,
2021-09-11T12:54:00,12,54,5,11,0,,
2021-09-11T12:56:00,12,56,5,11,0,,
2021-09-11T12:58:00,12,58,5,11,0,,
2021-09-11T13:00:00,13,0,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:02:00,13,2,5,11,2,2021-11-03T00:00:00,53
2021-09-11T13:04:00,13,4,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:06:00,13,6,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:08:00,13,8,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:10:00,13,10,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:12:00,13,12,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:14:00,13,14,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:16:00,13,16,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:18:00,13,18,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:20:00,13,20,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:22:00,13,22,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:24:00,13,24,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:26:00,13,26,5,11,2,2021-11-03T00:00:00,53
2021-09-11T13:28:00,13,28,5,11,0,,
2021-09-11T13:30:00,13,30,5,11,0,,
2021-09-11T13:32:00,13,32,5,11,1,2021-11-10T00:00:00,60
2021-09-11T13:34:00,13,34,5,11,0,,
2021-09-11T13:36:00,13,36,5,11,0,,
2021-09-11T13:38:00,13,38,5,11,0,,
2021-09-11T13:40:00,13,40,5,11,0,,
2021-09-11T13:42:00,13,42,5,11,0,,
2021-09-11T13:44:00,13,44,5,11,0,,
2021-09-11T13:46:00,13,46,5,11,0,,
2021-09-11T13:48:00,13,48,5,11,0,,
2021-09-11T13:50:00,13,50,5,11,0,,
2021-09-11T13:52:00,13,52,5,11,0,,
2021-09-11T13:54:00,13,54,5,11,0,,
2021-09-11T13:56:00,13,56,5,11,0,,
2021-09-11T13:58:00,13,58,5,11,0,,
2021-09-11T14:00:00,14,0,5,11,1,2021-11-10T00:00:00,60
2021-09-11T14:02:00,14,2,5,11,1,2021-11-10T00:00:00,60
2021-09-11T14:04:00,14,4,5,11,1,2021-11-10T00:00:00,60
2021-09-11T14:06:00,14,6,5,11,1,2021-11-10T00:00:00,60
2021-09-11T14:08:00,14,8,5,11,1,2021-11-10T00:00:00,60
2021-09-11T14:10:00,14,10,5,11,0,,
2021-09-11T14:12:00,14,12,5,11,0,,
2021-09-11T14:14:00,14,14,5,11,0,,
2021-09-11T14:16:00,14,16,5,11,3,2021-11-02T00:00:00,52
2021-09-11T14:18:00,14,18,5,11,2,2021-11-02T00:00:00,52
2021-09-11T14:20:00,14,20,5,11,1,2021-11-10T00:00:00,60
2021-09-11T14:22:00,14,22,5,11,0,,
2021-09-11T14:24:00,14,24,5,11,1,2021-11-10T00:00:00,60
2021-09-11T14:26:00,14,26,5,11,0,,
2021-09-11T14:28:00,14,28,5,11,0,,
2021-09-11T14:30:00,14,30,5,11,0,,
2021-09-11T14:32:00,14,32,5,11,0,,
2021-09-11T14:34:00,14,34,5,11,0,,
2021-09-11T14:36:00,14,36,5,11,1,2021-11-10T00:00:00,60
2021-09-11T14:38:00,14,38,5,11,0,,
2021-09-11T14:40:00,14,40,5,11,0,,
2021-09-11T14:42:00,14,42,5,11,0,,
2021-09-11T14:44:00,14,44,5,11,0,,
2021-09-11T14:46:00,14,46,5,11,1,2021-11-10T00:00:00,60
2021-09-11T14:48:00,14,48,5,11,0,,
2021-09-11T14:50:00,14,50,5,11,0,,
2021-09-11T14:52:00,14,52,5,11,0,,
2021-09-11T14:54:00,14,54,5,11,0,,
2021-09-11T14:56:00,14,56,5,11,2,2021-11-05T00:00:00,55
2021-09-11T14:58:00,14,58,5,11,0,,
2021-09-11T15:00:00,15,0,5,11,0,,
2021-09-11T15:02:00,15,2,5,11,0,,
2021-09-11T15:04:00,15,4,5,11,0,,
2021-09-11T15:06:00,15,6,5,11,0,,
2021-09-11T15:08:00,15,8,5,11,0,,
2021-09-11T15:10:00,15,10,5,11,0,,
2021-09-11T15:12:00,15,12,5,11,0,,
2021-09-11T15:14:00,15,14,5,11,0,,
2021-09-11T15:16:00,15,16,5,11,0,,
2021-09-11T15:18:00,15,18,5,11,0,,
2021-09-11T15:20:00,15,20,5,11,0,,
2021-09-11T15:22:00,15,22,5,11,0,,
2021-09-11T15:24:00,15,24,5,11,0,,
2021-09-11T15:26:00,15,26,5,11,0,,
2021-09-11T15:28:00,15,28,5,11,0,,
2021-09-11T15:30:00,15,30,5,11,0,,
2021-09-11T15:32:00,15,32,5,11,0,,
2021-09-11T15:34:00,15,34,5,11,0,,
2021-09-11T15:36:00,15,36,5,11,0,,
2021-09-11T15:38:00,15,38,5,11,0,,
2021-09-11T15:40:00,15,40,5,11,0,,
2021-09-11T15:42:00,15,42,5,11,0,,
2021-09-11T15:44:00,15,44,5,11,0,,
2021-09-11T15:46:00,15,46,5,11,0,,
2021-09-11T15:48:00,15,48,5,11,0,,
2021-09-11T15:50:00,15,50,5,11,0,,
2021-09-11T15:52:00,15,52,5,11,0,,
2021-09-11T15:54:00,15,54,5,11,0,,
2021-09-11T15:56:00,15,56,5,11,0,,
2021-09-11T15:58:00,15,58,5,11,0,,
2021-09-11T16:00:00,16,0,5,11,0,,
2021-09-11T16:02:00,16,2,5,11,0,,
2021-09-11T16:04:00,16,4,5,11,0,,
2021-09-11T16:06:00,16,6,5,11,0,,
2021-09-11T16:08:00,16,8,5,11,0,,
2021-09-11T16:10:00,16,10,5,11,0,,
2021-09-11T16:12:00,16,12,5,11,0,,
2021-09-11T16:14:00,16,14,5,11,0,,
2021-09-11T16:16:00,16,16,5,11,0,,
2021-09-11T16:18:00,16,18,5,11,0,,
2021-09-11T16:20:00,16,20,5,11,0,,
2021-09-11T16:22:00,16,22,5,11,0,,
2021-09-11T16:24:00,16,24,5,11,0,,
2021-09-11T16:26:00,16,26,5,11,0,,
2021-09-11T16:28:00,16,28,5,11,0,,
2021-09-11T16:30:00,16,30,5,11,0,,
2021-09-11T16:32:00,16,32,5,11,0,,
2021-09-11T16:34:00,16,34,5,11,0,,
2021-09-11T16:36:00,16,36,5,11,0,,
2021-09-11T16:38:00,16,38,5,11,0,,
2021-09-11T16:40:00,16,40,5,11,0,,
2021-09-11T16:42:00,16,42,5,11,0,,
2021-09-11T16:44:00,16,44,5,11,0,,
2021-09-11T16:46:00,16,46,5,11,0,,
2021-09-11T16:48:00,16,48,5,11,0,,
2021-09-11T16:50:00,16,50,5,11,0,,
2021-09-11T16:52:00,16,52,5,11,0,,
2021-09-11T16:54:00,16,54,5,11,0,,
2021-09-11T16:56:00,16,56,5,11,0,,
2021-09-11T16:58:00,16,58,5,11,0,,
2021-09-11T17:00:00,17,0,5,11,0,,
2021-09-11T17:02:00,17,2,5,11,0,,
2021-09-11T17:04:00,17,4,5,11,0,,
2021-09-11T17:06:00,17,6,5,11,0,,
2021-09-11T17:08:00,17,8,5,11,0,,
2021-09-11T17:10:00,17,10,5,11,0,,
2021-09-11T17:12:00,17,12,5,11,0,,
2021-09-11T17:14:00,17,14,5,11,0,,
2021-09-11T17:16:00,17,16,5,11,0,,
2021-09-11T17:18:00,17,18,5,11,0,,
2021-09-11T17:20:00,17,20,5,11,0,,
2021-09-11T17:22:00,17,22,5,11,0,,
2021-09-11T17:24:00,17,24,5,11,0,,
2021-09-11T17:26:00,17,26,5,11,0,,
2021-09-11T17:28:00,17,28,5,11,0,,
2021-09-11T17:30:00,17,30,5,11,0,,
2021-09-11T17:32:00,17,32,5,11,0,,
2021-09-11T17:34:00,17,34,5,11,0,,
2021-09-11T17:36:00,17,36,5,11,0,,
2021-09-11T17:38:00,17,38,5,11,0,,
2021-09-11T17:40:00,17,40,5,11,0,,
2021-09-11T17:42:00,17,42,5,11,0,,
2021-09-11T17:44:00,17,44,5,11,0,,
2021-09-11T17:46:00,17,46,5,11,0,,
2021-09-11T17:48:00,17,48,5,11,0,,
2021-09-11T17:50:00,17,50,5,11,0,,
2021-09-11T17:52:00,17,52,5,11,0,,
2021-09-11T17:54:00,17,54,5,11,0,,
2021-09-11T17:56:00,17,56,5,11,0,,
2021-09-11T17:58:00,17,58,5,11,0,,
2021-09-11T18:00:00,18,0,5,11,0,,
2021-09-11T18:02:00,18,2,5,11,0,,
2021-09-11T18:04:00,18,4,5,11,0,,
2021-09-11T18:06:00,18,6,5,11,0,,
2021-09-11T18:08:00,18,8,5,11,0,,
2021-09-11T18:10:00,18,10,5,11,0,,
2021-09-11T18:12:00,18,12,5,11,0,,
2021-09-11T18:14:00,18,14,5,11,0,,
2021-09-11T18:16:00,18,16,5,11,0,,
2021-09-11T18:18:00,18,18,5,11,0,,
2021-09-11T18:20:00,18,20,5,11,0,,
